Name,Calories,Brand
1% Low Fat Milk Jug,100,Generic
1% Low Fat Chocolate Milk Jug,170,Generic
Minute Maid Apple Juice Box,90,Generic
Orange Juice (Small),140,Generic
Orange Juice (Medium),180,Generic
Orange Juice (Large),250,Generic
Coca-Cola Classic (Child),110,Generic
Coca-Cola Classic (Small),150,Generic
Coca-Cola Classic (Medium),210,Generic
Coca-Cola Classic (Large),310,Generic
Diet Coke (Child),0,Generic
Diet Coke (Small),0,Generic
Diet Coke (Medium),0,Generic
Diet Coke (Large),0,Generic
Sprite (Child),110,Generic
Sprite (Small),150,Generic
Sprite (Medium),210,Generic
Sprite (Large),310,Generic
Hi-C Orange Lavaburst (Child),120,Generic
Hi-C Orange Lavaburst (Small),160,Generic
Hi-C Orange Lavaburst (Medium),240,Generic
Hi-C Orange Lavaburst (Large),350,Generic
POWERade Mountain Blast (Child),70,Generic
POWERade Mountain Blast (Small),100,Generic
POWERade Mountain Blast (Medium),150,Generic
POWERade Mountain Blast (Large),220,Generic
Iced Tea (Child),0,Generic
Iced Tea (Small),0,Generic
Iced Tea (Medium),0,Generic
Iced Tea (Large),0,Generic
Coffee (Small),0,Generic
Coffee (Large),0,Generic
Hamburger,250,mc
Cheeseburger,300,mc
Double Cheeseburger,440,mc
Quarter Pounder,410,mc
Quarter PounderÂ with Cheese,510,mc
Double Quarter Pounder with Cheese,740,mc
Big Mac,540,mc
Big N' Tasty,460,mc
Big N' Tasty with Cheese,510,mc
Filet-O-Fish,380,mc
McChicken¾,360,mc
Premium Grilled Chicken Classic Sandwich,420,mc
Premium Crispy Chicken Classic Sandwich,500,mc
Premium Grilled Chicken Club Sandwich,570,mc
Premium Crispy Chicken Club Sandwich,660,mc
Premium Grilled Chicken Ranch BLT Sandwich,520,mc
Premium Crispy Chicken Ranch BLT Sandwich,600,mc
Snack Wrap with Ranch,330,mc
Grilled Snack Wrap with Ranch,270,mc
Snack Wrap with Honey Mustard,320,mc
Grilled Snack Wrap with Honey Mustard,260,mc
Small French Fries,250,mc
Medium French Fries,380,mc
Large French Fries,570,mc
Chicken McNuggets (4 piece),170,mc
Chicken McNuggets (6 piece),250,mc
Chicken McNuggets (10 piece),420,mc
Chicken McNuggets (20 piece),840,mc
Chicken Selects Premium Breast Strips (3 pc),380,mc
Chicken Selects Premium Breast Strips (5 pc),630,mc
Chicken Selects Premium Breast Strips (10 pc),1270,mc
Barbeque Sauce,50,mc
Honey¾,50,mc
Hot Mustard Sauce,60,mc
Sweet 'N Sour Sauce,50,mc
Spicy Buffalo Sauce,70,mc
Creamy Ranch Sauce,200,mc
Tangy Honey Mustard Sauce,70,mc
Southwestern Chipotle Barbeque Sauce,70,mc
Asian Salad with Grilled Chicken,300,mc
Asian Salad with Crispy Chicken,380,mc
Asian Salad (without chicken),150,mc
Bacon Ranch Salad with Grilled Chicken,260,mc
Bacon Ranch Salad with Crispy Chicken,350,mc
Bacon Ranch Salad (without chicken),140,mc
Caesar Salad with Grilled Chicken,220,mc
Caesar Salad with Crispy Chicken,300,mc
Caesar Salad (without chicken),90,mc
Side Salad,20,mc
Butter Garlic Croutons,60,mc
Snack Size Fruit & Walnut Salad,210,mc
Newman's Own Creamy Caesar Dressing,190,mc
Newman's Own Low Fat Balsamic Vinaigrette,40,mc
Newman's Own Low Fat Family Recipe Italian Dressing,60,mc
Newman's Own Ranch Dressing,170,mc
Newman's Own Low Fat Sesame Ginger Dressing,90,mc
Egg McMuffin,300,mc
Sausage McMuffin,370,mc
Sausage McMuffin with Egg,450,mc
English Muffin,140,mc
"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",440,mc
"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",500,mc
Sausage Biscuit with Egg (Regular Size Biscuit),490,mc
